libssh2 1.8.0-2
libsystemd 239.0-2
libtasn1 4.13-1
libteam 1.27-2
libthai 0.1.27-1
libtheora 1.1.1-4
libtiff 4.0.9-2
libtirpc 1.1.4-1
libtool 2.4.6+42+gb88cebd5-2
libtorrent 0.13.7-1
libunistring 0.9.10-1
libunwind 1.2.1-1
libusb 1.0.22-1
libutempter 1.1.6-3
libutil-linux 2.32.1-2
libuv 1.23.0-1
libva 2.2.0-2
libvdpau 1.1.1+3+ga21bf7a-1
libvisual 0.4.0-7
libvorbis 1.3.6-1
libvpx 1.7.0-1
libwacom 0.30-1
libwebp 1.0.0-1
libx11 1.6.6-1
libxau 1.0.8-3
libxaw 1.0.13-2
libxcb 1.13-1
libxcomposite 0.4.4-3
libxcursor 1.1.15-1
libxdamage 1.1.4-3
libxdg-basedir 1.2.0-4
libxdmcp 1.1.2-2
libxext 1.3.3-2
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.2-2
libxi 1.7.9-1
libxinerama 1.1.4-1
libxkbcommon 0.8.2-1
libxkbcommon-x11 0.8.2-1
libxkbfile 1.0.9-2
libxml2 2.9.8-4
libxmu 1.1.2-2
libxpm 3.5.12-1
libxrandr 1.5.1-2
libxrender 0.9.10-1
libxshmfence 1.3-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.3-1
libxt 1.1.5-2
libxtst 1.2.3-1
libxv 1.0.11-1
libxxf86dga 1.1.4-2
libxxf86vm 1.1.4-2
libyaml 0.1.7-1
libzip 1.5.1-1
licenses 20171006-1
linux 4.18.6.arch1-1
linux-api-headers 4.17.11-1
linux-firmware 20180825.fea76a0-1
linux-headers 4.18.6.arch1-1
llvm-libs 6.0.1-4
lm_sensors 3.4.0+5176+dcf23676-1
logrotate 3.14.0-1
lua52 5.2.4-2
lvm2 2.02.181-1
lz4 1:1.8.2-2
lzo 2.10-1
m4 1.4.18-1
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.8.4-1
man-pages 4.16-2
mdadm 4.0-1
mesa 18.2.0-1
metasploit 4.17.5-1
minizip 1:1.2.11-3
mitmproxy 4.0.4-2
mkinitcpio 24-2
mkinitcpio-busybox 1.29.2-1
mobile-broadband-provider-info 20170310-1
mozilla-common 1.4-5
mpfr 4.0.1-1
mtdev 1.1.5-2
nano 3.0-2
ncurses 6.1-3
neofetch 5.0.0-1
netctl 1.18-1
nettle 3.4-1
network-manager-applet 1.8.18-1
networkmanager 1.12.3dev+1+g0a3755c17-1
nm-connection-editor 1.8.18-1
nmap 7.70-2
node-gyp 3.8.0-1
nodejs-lts-carbon 8.12.0-1
notification-daemon 3.20.0-1
noto-fonts 20180322-1
npm 6.4.1-1
npth 1.6-1
nspr 4.20-1
nss 3.39-1
numactl 2.0.11-2
ocl-icd 2.2.12-1
openal 1.19.0-1
opencore-amr 0.1.5-1
openjpeg2 2.3.0-3
openmpi 3.1.1-1
openresolv 3.9.0-1
openssh 7.8p1-1
openssl 1.1.1-1
openssl-1.0 1.0.2.p-1
opus 1.2.1-1
orc 0.4.28-1
p11-kit 0.23.14-1
p7zip 16.02-5
pacman 5.1.1-1
pacman-mirrorlist 20180912-1
pam 1.3.1-1
pambase 20171006-1
pango 1.42.4-1
patch 2.7.6-1
pciutils 3.6.1-1
pcre 8.42-1
pcre2 10.31-1
perl 5.28.0-1
perl-error 0.17026-2
perl-mailtools 2.20-2
perl-timedate 2.30-5
pinentry 1.1.0-4
pixman 0.34.0-1
pkgconf 1.5.3-1
polkit 0.115+3+g8638ec5-1
polybar 3.2.1-1
popt 1.16-9
postgresql 10.5-1
postgresql-libs 10.5-1
procps-ng 3.3.15-1
protobuf 3.6.1-1
psmisc 23.1-1
pulseaudio 12.2-2
python 3.7.0-3
python-appdirs 1.4.3-2
python-asn1crypto 0.24.0-2
python-blinker 1.4-4
python-brotlipy 0.7.0-4
python-cachecontrol 0.12.5-4
python-cffi 1.11.5-2
python-chardet 3.0.4-2
python-click 6.7-2
python-colorama 0.3.9-2
python-cryptography 2.3.1-1
python-distlib 0.2.7-2
python-distro 1.3.0-2
python-h11 0.8.1-2
python-h2 3.0.1-2
python-hpack 3.0.0-2
python-html5lib 1.0.1-3
python-hyperframe 5.1.0-2
python-idna 2.7-3
python-kaitaistruct 0.8-2
python-ldap3 2.5.1-1
python-lockfile 0.12.2-3
python-msgpack 0.5.6-2
python-packaging 17.1-2
python-passlib 1.7.1-2
python-pip 18.0-1
python-ply 3.11-2
python-progress 1.4-2
python-protobuf 3.6.1-1
python-pyasn1 0.4.4-1
python-pycparser 2.18-2
python-pyopenssl 18.0.0-2
python-pyparsing 2.2.0-2
python-pyperclip 1.6.4-2
python-pytoml 0.1.16-2
python-requests 2.19.1-2
python-retrying 1.3.3-4
python-ruamel-yaml 0.15.66-1
